Date,Plot,Fence,Weeded,Subplot - #,Present?,How many?,note,
06/28/2018,5,E,N,23-3944,n,0,destroyed,
06/28/2018,5,E,N,?-2816,n,0,dust,
06/28/2018,5,E,N,18-2803,n,0,destroyed,
06/28/2018,5,E,N,36-2662,n,0,dust,
06/28/2018,5,E,N,36-2637,n,0,dust,
06/28/2018,5,E,N,23-2634,n,0,dust,
06/26/2018,7,E,Y,20-2666,y,2 - broken,,
?,,?,,?-?,n,0,"dust, label says ""no info""",
?,,?,,?-373,n,0,destroyed,
06/26/2018,7,E,Y,15-4884,y,1,broken,
06/26/2018,7,E,Y,32-2256,y,1,not whole,
06/26/2018,7,E,Y,?-4804,y,1,not whole,
07/07/2018,7,E,Y,34-4678,n,0,dust,
07/02/2018,7,E,Y,32-4898b,n,0,destroyed,
06/28/2018,7,,,8-1146,n,0,dust,
07/02/2018,7,E,Y,35-4632,y,1,not whole,
07/02/2018,7,E,Y,23-4730,n,0,dust,
07/02/2018,7,E,Y,30-4834,n,0,destroyed,
06/26/2018,7,E,Y,15-4856,n,0,destroyed,
07/02/2018,7,E,Y,35-4883a,n,0,destroyed,
06/26/2018,7,E,Y,20-5077,y,1,,
06/26/2018,7,E,Y,31-5139,n,0,dust,
06/26/2018,7,E,Y,31-5440,y,1,,
07/02/2018,7,E,Y,34-6054,y,0.5,,
06/26/2018,7,E,Y,20-6649a,y,1 - broken,,
07/02/2018,7,E,Y,35-6685a,n,0,dust,
07/02/2018,7,E,Y,33-208a,y,0.5,,
07/02/2018,7,E,Y,23-682,n,0,destroyed,
06/26/2018,7,E,Y,31-992,y,3 - 1 broken,,
06/26/2018,7,E,Y,15-4021a,y,2,,
06/26/2018,7,E,Y,31-3556,y,1.5,,
06/26/2018,7,E,Y,11-3453,y,2.5,,
06/26/2018,7,E,Y,31-3320,n,0,destroyed,
06/26/2018,7,E,Y,11-2734,n,0,dust,
07/02/2018,3,E,Y,24-86a,n,0,destroyed,
07/02/2018,3,E,Y,24-86b,y,1,not whole,
07/02/2018,3,E,Y,36-80b,y,1 - broken,label says sub36 3608b,
07/02/2018,3,E,Y,24-5137,y,2 - 1 not whole,,
07/03/2018,3,E,Y,9-5185,y,0.5,,artr
07/03/2018,3,E,Y,17-5282,y,1,not whole,artr
07/03/2018,3,E,Y,11-5289,y,1,not whole,artr
07/02/2018,3,E,Y,15-6244,y,1 not whole,,
07/03/2018,3,E,Y,11-8805,y,1,,artr
07/02/2018,3,E,Y,16-54,n,0,destroyed,
07/02/2018,3,E,Y,8-118a,y,1 - broken,,
07/02/2018,3,E,Y,30-179,y,2,,
07/02/2018,3,E,Y,24-1906,y,2.5,,
07/02/2018,3,E,Y,16-2268,y,2,,
07/02/2018,3,E,Y,?-3650,y,2,,
07/02/2018,3,E,Y,1-2464,n,0,destroyed,
07/02/2018,3,E,Y,22-2337,n,0,destroyed,
07/02/2018,3,E,Y,22-2336,y,2,,
07/03/2018,3,E,Y,?-*no#,y,1,not whole,artr
06/29/2018,6,E,N,14-2675,y,0.5,,
06/28/2018,6,E,N,8-3120,n,0,dust,
06/28/2018,6,E,N,10-5767a,n,0,dust,
06/28/2018,6,E,N,?-5767b,n,0,dust,
06/29/2018,6,E,N,25-2608,n,0,destroyed,
06/29/2018,6,E,N,30-2726,n,0,dust,
06/29/2018,6,E,N,14-2799,y,1,,
06/29/2018,6,E,N,19-2875,n,0,dust,
06/29/2018,6,E,N,32-3136,y,0.5,,
06/29/2018,6,E,N,22-3175,n,0,destroyed,
06/28/2018,6,E,N,9-3468,n,0,,
06/28/2018,6,E,N,11-3611,y,1 - broken,,
06/28/2018,6,E,N,8-1406,n,0,dust,
06/29/2018,6,E,N,25-6495a,n,0,destroyed,
06/29/2018,6,E,N,22-6463,y,3,,
06/29/2018,6,E,N,36-6462,y,2,,
06/29/2018,6,E,N,36-6449a,y,2.5,,
06/29/2018,6,E,N,20-6424,y,1.5,,
06/20/2018,6,E,N,9-5607,n,0,,
06/29/2018,6,E,N,25-7759,n,0,dust,
06/26/2018,6,E,N,11-5569,n,0,destroyed,
06/29/2018,6,E,N,22-5567,y,2 - broken,,
06/29/2018,6,E,N,19-5531,y,1 - broken,,
06/29/2018,6,E,N,26-5178,n,0,dust,
06/29/2018,6,E,N,13-5122,n,0,dust,
06/28/2018,6,E,N,8-5089,n,0,,
06/29/2018,6,E,N,21-5045,n,0,,
06/29/2018,6,E,N,21-5024,n,0,,
06/28/2018,6,E,N,8-5009,n,0,,
06/28/2018,6,E,N,8-4967,y,2 - broken,,
06/28/2018,6,E,N,8-4722,y,0.5,,
06/29/2018,6,E,N,32-4237b,y,1,,
06/29/2018,6,E,N,?-?,y,0.5,,
06/28/2018,6,E,N,11-?,n,0,destroyed,
06/28/2018,6,E,N,9-?,n,0 dust,,
07/02/2018,7,E,Y,30-4840,n,0,dust,
07/02/2018,7,E,Y,26-4668,n,0,dust,
06/26/2018,7,E,Y,32-1153,n,0,dust,
